title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Dirty AF1s","Alexander 23","6J1jIKelO3HerpKnTEVVMe",0.687,0.668,8,-5.99,1,0.385,0.756,0,0.113,0.352,87.175,137000,4
"Jupiter (with Mereba & JID feat. EARTHGANG, Jurdan Bryant, Hollywood JB & Benji.)","Spillage Village","0je2CwkO13cSNRJzastZKB",0.653,0.632,2,-5.624,1,0.0337,0.0505,0.00000188,0.118,0.456,94.999,146715,4
"Trace","Micah Marcos","1CXeNAaiWBBOkpstvC8WJp",0.795,0.462,1,-11.212,0,0.0658,0.795,0.00000567,0.11,0.626,134.998,171928,4
"Pretty Woman","Lo Noom","4TUqSoppadkq212rcUFqYA",0.562,0.474,4,-6.194,1,0.0306,0.265,0.0000771,0.384,0.287,77.015,268052,4
"Rainy Girl","Andrew McMahon in the Wilderness","42tEPGKhxm0te2QJ8B5lOT",0.406,0.316,8,-9.054,1,0.0306,0.766,0,0.098,0.443,84.681,179393,4
"Deep Brown Eyes","Bedside Kites","6KFnGaAU3f7J1bgzZdFEI1",0.665,0.424,1,-9.438,1,0.0299,0.2,0.000653,0.0934,0.419,126.017,257143,4
"Goodbye Too Soon","The Irons","5XDSdgm8GsWCX8hZ6vLhSU",0.668,0.541,7,-10.553,1,0.0383,0.526,0.00268,0.308,0.604,154.992,278083,4
"Burn Me","moonweather","4Ox2YW750XE3viwBtWygeS",0.503,0.359,9,-12.706,1,0.0313,0.83,0.503,0.119,0.156,121.872,288100,4
"Bigfoot","Mt. Joy","4EErA2pXdbuV4S472yk2um",0.722,0.632,9,-8.171,1,0.0292,0.178,0.000266,0.119,0.528,116.074,203387,4
"There Is a Place in This Old Town","Nick Schillace","3s6SkrBG4hBEZ0t1XpyXz7",0.255,0.376,7,-11.16,0,0.0417,0.611,0.926,0.113,0.389,114.85,288627,4
"Raspberry","Grouplove","1F5A4LpF8ylUVtPoMAvNvn",0.492,0.779,3,-5.022,1,0.0498,0.0292,0,0.129,0.445,104.966,196027,4
"Love Me Like You Used To","Lord Huron","0JfpIwZfcRwDzD6GRYzfKN",0.507,0.715,7,-5.93,0,0.0267,0.576,0.00416,0.155,0.793,76.01,220738,4
"Love & War in Your Twenties","Jordy Searcy","3FFpGDzfkwJGjfIqM6BNMC",0.736,0.525,2,-9.694,1,0.0296,0.22,0.00153,0.127,0.529,102.986,250547,4
"Already Loved","Wilderado","2H5FTl3unNmULo5hZELh27",0.509,0.578,9,-7.506,1,0.0445,0.00545,0.00179,0.119,0.433,149.792,206520,4
"Still Beating","Mac DeMarco","4LpUpiYoZ2M3Z1kmhn4EQo",0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,181587,4
"Yellow Eyes","Rayland Baxter","3HOXNIj8NjlgjQiBd3YVIi",0.496,0.679,10,-7.898,1,0.0368,0.0948,0,0.103,0.507,154.028,230787,4
"Light My Love","Greta Van Fleet","4iya38ctQ1httyA6NOG9oW",0.374,0.778,5,-4.466,1,0.0363,0.1,0.199,0.107,0.484,133.85,270887,3
"All Shades of Blue","Gregory Alan Isakov","1xhgkhzFBEg7n1SrUgmSmU",0.478,0.299,2,-10.908,1,0.032,0.882,0.000687,0.11,0.287,161.388,213573,3
